KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記,目
2,ヤツメウナギ科,Petromyzontidae,ミナミスナヤツメ,"Lethenteron hattai Iwata, Sakai & Goto 2024","
坂本・田島（1995）佐賀自然史研究1:17-26，佐賀県；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島；和歌山県RedDataBook；松井ほか（2023）Ichthy, Nat Hist Fish Jpn 33:27-32，長崎県；Sakai et al (2024) Ichthyol Res doi:10.1007/s10228-024-00997-7，スナヤツメ南方種を新種記載，秋田県～長崎県；木村・笹木（2025）「三重県の魚類図鑑」
",Minamisunayatsume,"ヤツメウナギ目
Petromyzontiformes"
2,ヤツメウナギ科,Petromyzontidae,キタスナヤツメ,Lethenteron mitsukurii (Hatta 1901),"
Naseka & Renaud (2020) ZooKeys 991:1-67，Lethenteron sp. N.あるいはL. sp. SのいずれかがL. mitsukuriiの可能性が高い；Hirano et al (2020) Ichthyol Res doi:10.1007/s10228-020-00747-5，千葉県；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島；山崎ほか（2022）茨城県自然博物館研究報告25:79-94，茨城県；大森ほか（2023）水生生物AA2023-1，茨城県北浦；Sakai et al (2024) Ichthyol Res doi:10.1007/s10228-024-00997-7，スナヤツメ北方種をLethenteron mitsukurii (Hatta 1901)と同定，北海道から滋賀県；木村・笹木（2025）「三重県の魚類図鑑」
",Kitasunayatsume,"ヤツメウナギ目
Petromyzontiformes"
2,ヤツメウナギ科,Petromyzontidae,シベリアヤツメ,Lethenteron reissneri (Dybowski 1869),"
Naseka & Renaud (2020) ZooKeys 991:1-67，日本に分布，Lethenteron sp. N.とL. sp. Sとは異なる；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島（これはLethenteron hattaiかL. mitsukuriiの誤同定）；Sakai et al (2024) Ichthyol Res doi:10.1007/s10228-024-00997-7，北海道と青森県，これまでシベリアヤツメの学名とされていたLethenteron kessleri (Anikin 1905)は日本には分布しない
",Shiberiayatsume,"ヤツメウナギ目
Petromyzontiformes"
2,ヤツメウナギ科,Petromyzontidae,ウチワスナヤツメ,"Lethenteron satoi Sakai, Iwata & Watanabe 2024","
Sakai et al (2024) Ichthyol Res doi:10.1007/s10228-024-00997-7，北海道石狩川水系；Watanabe et al (2025) Ichthyol Res doi:10.1007/s10228-025-01041-y，DNA解析
",Uchiwasunayatsume,"ヤツメウナギ目
Petromyzontiformes"
3,ギンザメ科,Chimaeridae,ジョルダンギンザメ,Chimaera jordani Tanaka 1905,"
Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，東京，静岡県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；木村・笹木（2025）「三重県の魚類図鑑」
",Jorudanginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,ギンザメダマシ,Chimaera ogilbyi Waite 1898,"
Finucci et al (2018) Zootaxa 4375:191-210，属名変更（しかしC. ogilbyiは南半球の種，日本産の学名は不明）；日本産のギンザメダマシはアカギンザメと同種の可能性が高い（W. White私信）；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Ginzamedamashi,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,シロブチギンザメ,Chimaera owstoni Tanaka 1905,"
Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，東京；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Teramura et al (2024) Ichthyol Res doi: 10.1007/s10228-024-00973-1，相模湾，八丈島，鳥島（豆南諸島），検索図鑑で八重山諸島北部の記録とされているのはオオシロブチギンザメ
",Shirobuchiginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,ギンザメ,Chimaera phantasma Jordan & Snyder 1900,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，天草灘，薩南海域，大隅諸島黒島沖，屋久島沖，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；三浦（2012）「知念市場の魚」，沖縄島；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；山田・工藤（2012）神奈川県自然誌資料33:113-116，相模湾；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；Iglésias et al (2021) Ichthyol Res doi:10.1007/s10228-021-00810-9，系統解析；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；藤原ほか（2022）Ichthy, Nat Hist Fish Jpn 19:19-21，大隅諸島黒島；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；Teramura et al (2022) Univ Mus, Univ Tokyo Material Rep 129:101-108，八丈島，神奈川県，和歌山県，長崎県，鹿児島湾，東シナ海，石垣島，卵（東京・神奈川県）；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；木村・笹木（2025）「三重県の魚類図鑑」
",Ginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,オオシロブチギンザメ,"Chimaera stellata Teramura, Senou & Hirase 2024","
Teramura et al (2024) Ichthyol Res doi: 10.1007/s10228-024-00973-1，沖縄舟状海盆（伊江島沖）
",Oshirobuchiginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,ココノホシギンザメ,Hydrolagus barbouri (Garman 1908),"
Teramura et al (2022) Univ Mus, Univ Tokyo Material Rep 129:101-108，福島県，茨城県，卵（宮城県）；Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，岩手県
",Kokonohoshiginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,ニジギンザメ,Hydrolagus eidolon (Jordan & Hubbs 1925),"
本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Nijiginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,アカギンザメ,Hydrolagus mitsukurii (Jordan & Snyder 1904),"
Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；福井ほか（2015）Nat Kagoshima 41:177-186，大隅諸島黒島沖；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島黒島；Teramura et al (2022) Univ Mus, Univ Tokyo Material Rep 129:101-108，千葉県；Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，神奈川県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島
",Akaginzame,"ギンザメ目
Chimaeriformes"
3,ギンザメ科,Chimaeridae,ムラサキギンザメ,Hydrolagus purpurescens (Gilbert 1905),"
本田ほか（2024）Bull Kanagawa Pref Mus (Nat Sci) 53:127-218，相模湾
",Murasakiginzame,"ギンザメ目
Chimaeriformes"
4,テングギンザメ科,Rhinochimaeridae,アズマギンザメ,Harriotta chaetirhampha (Tanaka 1909),"
Nakayama et al (2019) Ichthyol Res doi:10.1007/s10228-019-00703-y，これまでアズマギンザメと呼ばれていたのはHarriotta chaetirhamphaであり，Harriotta raleighanaにはヨミノツカイ（新称）が提唱された；Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，神奈川県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Azumaginzame,"ギンザメ目
Chimaeriformes"
4,テングギンザメ科,Rhinochimaeridae,ヨミノツカイ,Harriotta raleighana Goode & Bean 1895,"
Nakayama et al (2019) Ichthyol Res doi:10.1007/s10228-019-00703-y，これまでアズマギンザメと呼ばれていたのはHarriotta chaetirhamphaであり，Harriotta raleighanaにはヨミノツカイ（新称）が提唱された；Harriotta raleighanaの日本からの記録は日向灘産の2個体のみ
",Yominotsukai,"ギンザメ目
Chimaeriformes"
4,テングギンザメ科,Rhinochimaeridae,クロテングギンザメ,"Rhinochimaera africana Compagno, Stehmann & Ebert 1990","
Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島
",Kurotenguginzame,"ギンザメ目
Chimaeriformes"
4,テングギンザメ科,Rhinochimaeridae,テングギンザメ,Rhinochimaera pacifica (Mitsukuri 1895),"
Teramura et al (2022) Univ Mus, Univ Tokyo Material Rep 129:101-108，卵（東京湾・神奈川県・静岡県）；Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，神奈川県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Tenguginzame,"ギンザメ目
Chimaeriformes"
5,ネコザメ科,Heterodontidae,ネコザメ,Heterodontus japonicus Miklouho-Maclay & Macleay 1884,"
北島ほか（1976）西海区水産研究所研究報告48:47-92，薩南海域，宇治群島沖；山下ほか（2012）Nat Kagoshima 38:119-138，大隅半島東岸；佐々木ほか（2014）小笠原研究41:13-39，小笠原諸島；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；中村・本村（2019）Nat Kagoshima 45:373-375，トカラ列島平島；中村ほか（2019）Nat Kagoshima 46:251-253，屋久島；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；Motomura (2020) Ichthyofaunal Studies in the Tokara Is，平島；小枝ほか（2020）「大隅市場魚類図鑑」；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，東京（市場），神奈川県，静岡県，愛知県，高知県，島根県，長崎県，宮崎県，沖縄島，東シナ海；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；木村・笹木（2025）「三重県の魚類図鑑」；甲斐・御所（2025）「紀伊大島の魚」和歌山県紀伊大島
",Nekozame,"ネコザメ目
Heterodontiformes"
5,ネコザメ科,Heterodontidae,シマネコザメ,Heterodontus zebra (Gray 1831),"
山下ほか（2012）Nat Kagoshima 38:119-138，東シナ海；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，山口県，長崎県，東シナ海
",Shimanekozame,"ネコザメ目
Heterodontiformes"
6,クラカケザメ科,Parascylliidae,ヒゲザメ,Cirrhoscyllium expolitum Smith & Radcliffe 1913,,Higezame,"テンジクザメ目
Orectolobiformes"
6,クラカケザメ科,Parascylliidae,クラカケザメ,Cirrhoscyllium japonicum Kamohara 1943,"
三澤ほか（2019）板鰓類研究会報55:31-54，高知県；佐藤ほか（2023）「トワイライトゾーン深海生物」，久米島
",Kurakakezame,"テンジクザメ目
Orectolobiformes"
7,オオセ科,Orectolobidae,オオセ,Orectolobus japonicus Regan 1906,"
竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，静岡県下田；本村ほか（2019）「奄美群島の魚類」；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；村瀬ほか（2023）Ichthy, Nat Hist Fish Jpn 33:33-114，宮崎県南部；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，長崎県，鹿児島県
",Ose,"テンジクザメ目
Orectolobiformes"
8,テンジクザメ科,Hemiscylliidae,シマザメ,Chiloscyllium griseum Müller & Henle 1838,,Shimazame,"テンジクザメ目
Orectolobiformes"
8,テンジクザメ科,Hemiscylliidae,テンジクザメ,Chiloscyllium plagiosum (Anonymous 1830),"
シロボシテンジクとテンジクザメが同種であり，前者が抹消；山下ほか（2012）Nat Kagoshima 38:119-138，薩摩半島西岸；岩坪・本村（2017）「鹿児島湾の魚類」；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，山口県，鹿児島県，東シナ海
",Tenjikuzame,"テンジクザメ目
Orectolobiformes"
8,テンジクザメ科,Hemiscylliidae,イヌザメ,Chiloscyllium punctatum Müller & Henle 1838,"
Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側
",Inuzame,"テンジクザメ目
Orectolobiformes"
8.1,トラフザメ科,Stegostomatidae,トラフザメ,Stegostoma tigrinum (Forster 1781),"
Rhincodontidae→Stegostomatidae；三浦（2012）「知念市場の魚」，沖縄島；小枝ほか（2018）「内之浦の魚類」；Dahl et al (2019) Copeia 107:524-541，Stegostoma fasciatum (Hermann 1783)は新参異名；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Torafuzame,"テンジクザメ目
Orectolobiformes"
8.2,コモリザメ科,Ginglymostomatidae,オオテンジクザメ,Nebrius ferrugineus (Lesson 1831),"
Rhincodontidae→Ginglymostomatidae；下瀬（2021）「沖縄さかな図鑑」，沖縄県
",Otenjikuzame,"テンジクザメ目
Orectolobiformes"
9,ジンベエザメ科,Rhincodontidae,ジンベエザメ,Rhincodon typus Smith 1828,"
Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，沖縄県；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；岩坪ほか（2022）「薩摩半島沿岸の魚類」；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，静岡県；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；木村・笹木（2025）「三重県の魚類図鑑」
",Jimbezame,"テンジクザメ目
Orectolobiformes"
10,ミツクリザメ科,Mitsukurinidae,ミツクリザメ,Mitsukurina owstoni Jordan 1898,"
三澤ほか（2016）板鰓類研究会報52:12-16，茨城県；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，神奈川県；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；Aizawa et al (2022) Univ Mus, Univ Tokyo Material Rep 129:189-217，神奈川県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，東京（市場）；木村・笹木（2025）「三重県の魚類図鑑」
",Mitsukurizame,"ネズミザメ目
Lamniformes"
11,オオワニザメ科,Odontaspididae,オオワニザメ,Odontaspis ferox (Risso 1810),"
渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，相模湾；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；佐藤ほか（2023）「トワイライトゾーン深海生物」，沖縄県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Owanizame,"ネズミザメ目
Lamniformes"
11.1,シロワニ科,Carchariidae,シロワニ,Carcharias taurus Rafinesque 1810,"
本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，山口県
",Shirowani,"ネズミザメ目
Lamniformes"
12,ミズワニ科,Pseudocarchariidae,ミズワニ,Pseudocarcharias kamoharai (Matsubara 1936),"
山下ほか（2012）Nat Kagoshima 38:119-138，東シナ海
",Mizuwani,"ネズミザメ目
Lamniformes"
13,メガマウスザメ科,Megachasmidae,メガマウスザメ,"Megachasma pelagios Taylor, Compagno & Struhsaker 1983","
渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，静岡県御前崎；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；木村・笹木（2025）「三重県の魚類図鑑」
",Megamausuzame,"ネズミザメ目
Lamniformes"
14,ウバザメ科,Cetorhinidae,ウバザメ,Cetorhinus maximus (Gunnerus 1765),"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；崎山ほか（2017）神奈川自然誌資料38:83-86，相模湾；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，茨城県大洗；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；加登岡ほか（2022）神奈川県自然誌資料43:53-60，相模湾；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；木村・笹木（2025）「三重県の魚類図鑑」
",Ubazame,"ネズミザメ目
Lamniformes"
15,ネズミザメ科,Lamnidae,ホホジロザメ,Carcharodon carcharias (Linnaeus 1758),"
Koeda et al (2016) Fishes of Yonaguni，与那国島；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，神奈川県川崎，高知県以布利；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；崎山ほか（2021）神奈川自然誌資料42:47-52，相模湾；岩坪ほか（2022）「薩摩半島沿岸の魚類」；黒木・星野（2024）Ichthy, Nat Hist Fish Jpn 42:9-14，宮崎県；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；吉田ほか（2025）Ichthy, Nat Hist Fish Jpn 53:23-39，薩摩半島；木村・笹木（2025）「三重県の魚類図鑑」
",Hohojirozame,"ネズミザメ目
Lamniformes"
15,ネズミザメ科,Lamnidae,アオザメ,Isurus oxyrinchus Rafinesque 1810,"
山下ほか（2012）Nat Kagoshima 38:119-138，鹿児島湾，大隅半島東岸；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；渋川（2018）「駿河湾のサメ（ふじのくに地球環境史ミュージアム図録）」，駿河湾；三澤ほか（2019）板鰓類研究会報55:31-54，高知県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；下瀬（2021）「沖縄さかな図鑑」，沖縄県；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；木村・笹木（2025）「三重県の魚類図鑑」
",Aozame,"ネズミザメ目
Lamniformes"
15,ネズミザメ科,Lamnidae,バケアオザメ,Isurus paucus Guitart Manday 1966,,Bakeaozame,"ネズミザメ目
Lamniformes"
15,ネズミザメ科,Lamnidae,ネズミザメ,Lamna ditropis Hubbs & Follett 1947,"
本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koeda et al (2024) Univ Mus, Univ Tokyo Material Rep 132:1-23，千葉県，東京（市場）；木村・笹木（2025）「三重県の魚類図鑑」
",Nezumizame,"ネズミザメ目
Lamniformes"
